line,country_id,length,max_speed,cost,success
Tours–Saint-Nazaire railway,FRA,80.6,220,,
Savenay–Landerneau railway,FRA,42,220,,
LGV Rhône-Alpes,FRA,115,300,2304,0
LGV Nord,FRA,333,300,3249,0
LGV Interconnexion Est,FRA,90,270,1819,1
LGV Méditerranée,FRA,216,320,4379,0
LGV Est,FRA,406,320,2420,0
LGV Rhin-Rhône,FRA,140,320,2650,0
Perpignan–Barcelona HSR,FRA,17.1,300,6914,0
LGV Sud Europe Atlantique,FRA,340,320,8989,1
LGV Bretagne-Pays de la Loire,FRA,214,320,3803,0
Contournement Nîmes – Montpellier,FRA,80,220,2627,0
Berlin–Hamburg Railway,DEU,284.1,230,2650,1
Wanne-Eickel–Hamburg railway,DEU,355,200,1728,1
Augsburg–Nördlingen railway,DEU,36.5,200,562,1
Cologne–Duisburg railway,DEU,64,200,202,1
Hamm–Minden railway,DEU,112,200,1290,1
Würzburg–Aschaffenburg railway,DEU,89.3,200,507,1
Hanover–Minden railway,DEU,64.4,200,742,1
Dortmund–Hamm railway,DEU,31,200,1498,0
Hanover–Hamburg railway,DEU,355.5,200,747,1
Waghäusel Saalbach–Graben-Neudorf railway,DEU,7.94,200,91,1
Hanover–Würzburg,DEU,327,250,8009,1
Mannheim–Stuttgart,DEU,99,250,2555,1
Rhine Railway,DEU,186.45,200,16365,0
Ulm–Augsburg railway (old line),DEU,85,200,979,1
Frankfurt–Göttingen railway,DEU,19,200,135,1
Hanover–Berlin,DEU,258,280,2996,1
Nuremberg–Würzburg railway,DEU,102.2,200,6569,0
Mannheim–Frankfurt railway,DEU,74.8,200,1498,1
Cologne–Frankfurt,DEU,180,300,6914,0
Cologne–Aachen,DEU,39.2,250,451,1
Berlin–Halle railway,DEU,161.6,200,2189,0
Trebnitz–Leipzig railway,DEU,81.2,200,936,1
Nuremberg–Ingolstadt,DEU,77.5,300,4264,0
Hamm–Warburg railway,DEU,131,200,1509,1
Munich–Augsburg railway,DEU,61.9,230,864,0
Leipzig–Dresden railway,DEU,60,200,864,1
Erfurt–Leipzig/Halle,DEU,123,300,3419,0
Nuremberg–Erfurt,DEU,107,300,6020,0
Wendlingen–Ulm,DEU,59.5,250,4267,1
P.A.Th.E./P.,GRC,160,200,101,1
Florence–Rome,ITA,254,250,10660,1
Turin–Milan,ITA,148.3,300,2973,1
Padua–Venice,ITA,25,220,538,0
Treviglio - Brescia,ITA,39.6,250,2362,0
Milan–Bologna,ITA,214.6,300,7952,1
Naples–Salerno,ITA,29,250,1092,1
Verona–Bologna railway,ITA,115,200,1267,1
Rome–Naples,ITA,204.6,300,7952,1
Bologna–Ancona railway,ITA,153,200,550,1
Adriatic railway,ITA,594,200,5762,1
Pisa–Rome railway,ITA,91,200,96,1
HSL-Zuid,NLD,125,300,7952,0
Lelystad–Zwolle railway,NLD,50,160,1267,0
Gardermoen Line,NOR,64,210,989,1
Langset-Kleverud,NOR,17,200,903,0
Farriseidet–Porsgrunn,NOR,23.5,200,872,1
Kobbervikdalen–Holm,NOR,24.7,200,742,0
Nykirke – Holm,NOR,14.1,200,653,1
Tønsberg – Barkåker,NOR,7.7,200,148,1
Follo Line,NOR,22,200,3641,0
Warsaw–Gdańsk railway,POL,150,200,2535,0
Grodzisk Mazowiecki–Zawiercie railway,POL,135.047,200,170,1
"Santa Apolónia, Lisbon–Campanhã, Porto",PRT,332,220,5647,0
"Santa Apolónia, Lisbon–Braga",PRT,389,220,1728,1
Linha do Norte e Linha do Sul,PRT,627,220,5647,0
Linha do Sul,PRT,273.6,220,722,0
Linha de Évora,PRT,26.164,200,55,0
Saint Petersburg–Moscow railway,RUS,650,250,16550,0
Riihimäki–Saint Petersburg railway,RUS,197,200,2344,1
Budapest–Belgrade railway,SRB,150,200,1728,0
Madrid–Seville,ESP,471.8,300,7836,0
Madrid–Levante,ESP,603,300,9381,0
Madrid–Barcelona,ESP,620.9,300,10333,0
Madrid–Toledo,ESP,74,300,428,1
Madrid–Málaga,ESP,154.5,300,2915,1
Madrid–Galicia,ESP,415.7,300,10372,0
Perpignan–Barcelona,ESP,175.5,300,5531,0
Alcázar de San Juan–Cádiz railway,ESP,158.1,220,1382,1
Atlantic Axis,ESP,155.6,200,3457,0
Madrid–Asturias,ESP,342.3,300,11294,1
Valencia−Sant Vicenç de Calders railway,ESP,238,220,409,0
Andalusian Corridor,ESP,125.7,300,1613,0
Alcázar de San Juan–Jaén,ESP,16.7,220,341,0
Madrid–Extremadura high-speed rail line,ESP,192.6,200,4264,0
LAV Venta de Baños-Burgos-Vitoria (in Spanish),ESP,86,300,874,1
Malmö–Katrineholm,SWE,336,200,1539,1
Stockholm central–Gothenburg central,SWE,312,200,8277,0
Lund central–Gothenburg central,SWE,232,200,13339,0
Stockholm central–Gavle,SWE,142,200,66,1
Gavle–Enånger,SWE,105,200,170,1
Ådalen Line,SWE,30,200,632,0
Svealand Line,SWE,86,200,421,0
Mälaren Line,SWE,155,200,2688,1
Bothnia Line,SWE,190,250,1581,0
Norway/Vänern Line,SWE,80,200,230,1
Haparanda Line,SWE,43,250,484,0
Solothurn–Wanzwil railway,CHE,12,200,1307,0
Mattstetten–Rothrist new line,CHE,45,200,2053,1
Lötschberg Base Tunnel,CHE,34,250,3540,0
Gotthard Base Tunnel,CHE,57,200,14912,0
Ceneri Base Tunnel,CHE,15.4,200,2580,1
Great Western Main Line,GBR,190.2,201,3768,1
South Wales Main Line,GBR,34.5,201,67,1
East Coast Main Line,GBR,552.7,201,444,1
Cross Country Route,GBR,293,201,4669,1
West Coast Main Line,GBR,640,201,11573,1
Fawkham Junction–Channel Tunnel,GBR,74,300,2557,1
"St Pancras, London–Ebbsfleet",GBR,39.4,230,3364,1
Midland Main Line,GBR,229,201,2153,1
Northeast Corridor,USA,735,240,2330,1
Brightline,USA,378,201,6500,0
